City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Geraldton,AU,-28.7667,114.6,73.81,56,75,13.8,broken clouds
337,Ahipara,NZ,-35.1667,173.1667,59.09,73,98,12.1,overcast clouds
338,Poum,NC,-20.2333,164.0167,82.06,83,98,9.15,overcast clouds
339,Leh,IN,34.1667,77.5833,30.87,31,34,2.24,scattered clouds
340,Honningsvag,NO,70.9821,25.9704,35.35,80,100,13.8,overcast clouds
341,San Andres,CO,12.5847,-81.7006,80.62,83,20,13.8,few clouds
342,Iracoubo,GF,5.4802,-53.2011,75.97,87,68,9.82,broken clouds
343,Vanavara,RU,60.34,102.2797,-17.43,95,78,3.96,broken clouds
344,Emmett,US,43.8735,-116.4993,42.22,72,100,8.99,overcast clouds
345,Krasnyy Oktyabr,RU,56.1167,38.8833,19.74,77,71,2.59,broken clouds
